food_name,category,moisture,fat,ph,respiration_rate,storage_temperature,storage_rh,target_shelf_life,oxygen_sensitivity,moisture_sensitivity,light_sensitivity,storage_type,transport_condition,recommended_material
Fresh Produce Item 1,Produce,88.0,0.2,3.8,High,2.0,90.0,7,Low,Medium,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 2,Produce,88.8,0.4,4.2,Very High,3.0,92.0,8,Low,High,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 3,Produce,89.6,0.6,4.6,High,4.0,94.0,9,Low,Medium,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 4,Produce,90.4,0.2,5.0,Very High,5.0,90.0,10,Low,High,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 5,Produce,91.2,0.4,5.4,High,2.0,92.0,11,Low,Medium,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 6,Produce,92.0,0.6,5.8,Very High,3.0,94.0,12,Low,High,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 7,Produce,92.8,0.2,3.8,High,4.0,90.0,13,Low,Medium,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 8,Produce,93.6,0.4,4.2,Very High,5.0,92.0,14,Low,High,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 9,Produce,88.0,0.6,4.6,High,2.0,94.0,15,Low,Medium,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 10,Produce,88.8,0.2,5.0,Very High,3.0,90.0,16,Low,High,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 11,Produce,89.6,0.4,5.4,High,4.0,92.0,7,Low,Medium,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Fresh Produce Item 12,Produce,90.4,0.6,5.8,Very High,5.0,94.0,8,Low,High,Low,Refrigerated,Cold Chain,Perforated LDPE Produce Pouch (Synthetic Benchmark)
Root/Pome Produce 1,Produce,82.0,0.1,4.2,Low,4.0,85.0,21,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 2,Produce,83.0,0.3,4.5,Moderate,5.5,87.0,22,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 3,Produce,84.0,0.1,4.8,Low,7.0,89.0,23,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 4,Produce,85.0,0.3,5.1,Moderate,8.5,91.0,24,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 5,Produce,86.0,0.1,5.4,Low,10.0,85.0,25,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 6,Produce,87.0,0.3,4.2,Moderate,4.0,87.0,26,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 7,Produce,82.0,0.1,4.5,Low,5.5,89.0,27,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 8,Produce,83.0,0.3,4.8,Moderate,7.0,91.0,28,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 9,Produce,84.0,0.1,5.1,Low,8.5,85.0,29,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 10,Produce,85.0,0.3,5.4,Moderate,10.0,87.0,30,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 11,Produce,86.0,0.1,4.2,Low,4.0,89.0,31,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Root/Pome Produce 12,Produce,87.0,0.3,4.5,Moderate,5.5,91.0,32,Low,Medium,Low,Refrigerated,Cold Chain,Low-Density Polyethylene Film (LDPE)
Crispy Snack Item 1,Snack Foods,1.2,32.0,5.8,None,20.0,45.0,120,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 2,Snack Foods,1.7,33.8,6.0,None,21.0,48.0,121,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 3,Snack Foods,2.2,35.6,6.2,None,22.0,51.0,122,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 4,Snack Foods,2.7,37.4,6.4,None,23.0,54.0,123,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 5,Snack Foods,1.2,39.2,6.6,None,24.0,57.0,124,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 6,Snack Foods,1.7,41.0,5.8,None,20.0,45.0,125,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 7,Snack Foods,2.2,32.0,6.0,None,21.0,48.0,126,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 8,Snack Foods,2.7,33.8,6.2,None,22.0,51.0,127,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 9,Snack Foods,1.2,35.6,6.4,None,23.0,54.0,128,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 10,Snack Foods,1.7,37.4,6.6,None,24.0,57.0,129,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 11,Snack Foods,2.2,39.2,5.8,None,20.0,45.0,130,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Crispy Snack Item 12,Snack Foods,2.7,41.0,6.0,None,21.0,48.0,131,High,High,High,Ambient,Standard Ambient,Metallized PET Film (Met-PET)
Dry Cereal/Biscuit 1,Dry Goods & Cereals,3.5,8.0,6.0,None,21.0,50.0,180,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 2,Dry Goods & Cereals,4.3,9.5,6.2,None,22.0,52.0,181,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 3,Dry Goods & Cereals,5.1,11.0,6.4,None,23.0,54.0,182,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 4,Dry Goods & Cereals,5.9,12.5,6.6,None,24.0,56.0,183,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
Dry Cereal/Biscuit 5,Dry Goods & Cereals,3.5,14.0,6.0,None,21.0,58.0,184,Medium,High,Medium,Ambient,Standard Ambient,Biaxially Oriented Polypropylene (BOPP)
